Country Name,Country Code,Indicator Name,Indicator Code,2018
Denmark,DNK,"Population, total",SP.POP.TOTL,5797446
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10627165
Algeria,DZA,"Population, total",SP.POP.TOTL,42228429
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2081651801
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3249140605
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2328220870
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,417797257
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,918793590
Ecuador,ECU,"Population, total",SP.POP.TOTL,17084357
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,98423595
Euro area,EMU,"Population, total",SP.POP.TOTL,341783171
Eritrea,ERI,"Population, total",SP.POP.TOTL,
Spain,ESP,"Population, total",SP.POP.TOTL,46723749
Estonia,EST,"Population, total",SP.POP.TOTL,1320884
Ethiopia,ETH,"Population, total",SP.POP.TOTL,109224559
European Union,EUU,"Population, total",SP.POP.TOTL,513213363
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,515215936
Finland,FIN,"Population, total",SP.POP.TOTL,5518050
Fiji,FJI,"Population, total",SP.POP.TOTL,883483
France,FRA,"Population, total",SP.POP.TOTL,66987244
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,48497
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,112640
Gabon,GAB,"Population, total",SP.POP.TOTL,2119275
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66488991
Georgia,GEO,"Population, total",SP.POP.TOTL,3731000
Ghana,GHA,"Population, total",SP.POP.TOTL,29767108
Gibraltar,GIB,"Population, total",SP.POP.TOTL,33718
Guinea,GIN,"Population, total",SP.POP.TOTL,12414318
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2280102
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1874309
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1308974
Greece,GRC,"Population, total",SP.POP.TOTL,10727668
Grenada,GRD,"Population, total",SP.POP.TOTL,111454
Greenland,GRL,"Population, total",SP.POP.TOTL,56025
Guatemala,GTM,"Population, total",SP.POP.TOTL,17247807
Guam,GUM,"Population, total",SP.POP.TOTL,165768
Guyana,GUY,"Population, total",SP.POP.TOTL,779004
High income,HIC,"Population, total",SP.POP.TOTL,1210312147
Hong Kong,HKG,"Population, total",SP.POP.TOTL,7451000
Honduras,HND,"Population, total",SP.POP.TOTL,9587522
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,780234406
Croatia,HRV,"Population, total",SP.POP.TOTL,4089400
Haiti,HTI,"Population, total",SP.POP.TOTL,11123176
Hungary,HUN,"Population, total",SP.POP.TOTL,9768785
IBRD only,IBD,"Population, total",SP.POP.TOTL,4772284113
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6412522234
IDA total,IDA,"Population, total",SP.POP.TOTL,1640238121
IDA blend,IDB,"Population, total",SP.POP.TOTL,555830605
Indonesia,IDN,"Population, total",SP.POP.TOTL,267663435
IDA only,IDX,"Population, total",SP.POP.TOTL,1084407516
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84077
India,IND,"Population, total",SP.POP.TOTL,1352617328
Not classified,INX,"Population, total",SP.POP.TOTL,
Ireland,IRL,"Population, total",SP.POP.TOTL,4853506
Iran,IRN,"Population, total",SP.POP.TOTL,81800269
Iraq,IRQ,"Population, total",SP.POP.TOTL,38433600
Iceland,ISL,"Population, total",SP.POP.TOTL,353574
Israel,ISR,"Population, total",SP.POP.TOTL,8883800
Italy,ITA,"Population, total",SP.POP.TOTL,60431283
Jamaica,JAM,"Population, total",SP.POP.TOTL,2934855
Jordan,JOR,"Population, total",SP.POP.TOTL,9956011
Japan,JPN,"Population, total",SP.POP.TOTL,126529100
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18276499
Kenya,KEN,"Population, total",SP.POP.TOTL,51393010
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6315800
Cambodia,KHM,"Population, total",SP.POP.TOTL,16249798
Kiribati,KIR,"Population, total",SP.POP.TOTL,115847
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,52441
"Korea, South",KOR,"Population, total",SP.POP.TOTL,51635256
Kuwait,KWT,"Population, total",SP.POP.TOTL,4137309
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,609013934
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7061507
Lebanon,LBN,"Population, total",SP.POP.TOTL,6848925
Liberia,LBR,"Population, total",SP.POP.TOTL,4818977
Libya,LBY,"Population, total",SP.POP.TOTL,6678567
St. Lucia,LCA,"Population, total",SP.POP.TOTL,181889
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,641357515
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1009662578
Low income,LIC,"Population, total",SP.POP.TOTL,705417321
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,37910
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21670000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3022905169
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6383958209
Lesotho,LSO,"Population, total",SP.POP.TOTL,2108132
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2288665963
Lithuania,LTU,"Population, total",SP.POP.TOTL,2789533
Luxembourg,LUX,"Population, total",SP.POP.TOTL,607728
Latvia,LVA,"Population, total",SP.POP.TOTL,1926542
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,631636
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,37264
Morocco,MAR,"Population, total",SP.POP.TOTL,36029138
Monaco,MCO,"Population, total",SP.POP.TOTL,38682
Moldova,MDA,"Population, total",SP.POP.TOTL,3545883
Madagascar,MDG,"Population, total",SP.POP.TOTL,26262368
Maldives,MDV,"Population, total",SP.POP.TOTL,515696
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,448912859
Mexico,MEX,"Population, total",SP.POP.TOTL,126190788
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,58413
Middle income,MIC,"Population, total",SP.POP.TOTL,5678540888
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2082958
Mali,MLI,"Population, total",SP.POP.TOTL,19077690
Malta,MLT,"Population, total",SP.POP.TOTL,483530
Myanmar,MMR,"Population, total",SP.POP.TOTL,53708395
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,382896715
Montenegro,MNE,"Population, total",SP.POP.TOTL,622345
Mongolia,MNG,"Population, total",SP.POP.TOTL,3170208
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,56882
Mozambique,MOZ,"Population, total",SP.POP.TOTL,29495962
Mauritania,MRT,"Population, total",SP.POP.TOTL,4403319
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265303
Malawi,MWI,"Population, total",SP.POP.TOTL,18143315
Malaysia,MYS,"Population, total",SP.POP.TOTL,31528585
North America,NAC,"Population, total",SP.POP.TOTL,364290258
Namibia,NAM,"Population, total",SP.POP.TOTL,2448255
New Caledonia,NCL,"Population, total",SP.POP.TOTL,284060
Niger,NER,"Population, total",SP.POP.TOTL,22442948
Nigeria,NGA,"Population, total",SP.POP.TOTL,195874740
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6465513
Netherlands,NLD,"Population, total",SP.POP.TOTL,17231017
Norway,NOR,"Population, total",SP.POP.TOTL,5314336
Nepal,NPL,"Population, total",SP.POP.TOTL,28087871
Nauru,NRU,"Population, total",SP.POP.TOTL,12704
New Zealand,NZL,"Population, total",SP.POP.TOTL,4885500
OECD members,OED,"Population, total",SP.POP.TOTL,1303529456
Oman,OMN,"Population, total",SP.POP.TOTL,4829483
Other small states,OSS,"Population, total",SP.POP.TOTL,30758989
Pakistan,PAK,"Population, total",SP.POP.TOTL,212215030
Panama,PAN,"Population, total",SP.POP.TOTL,4176873
Peru,PER,"Population, total",SP.POP.TOTL,31989256
Philippines,PHL,"Population, total",SP.POP.TOTL,106651922
Palau,PLW,"Population, total",SP.POP.TOTL,17907
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8606316
Poland,POL,"Population, total",SP.POP.TOTL,37978548
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,919485393
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3195153
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,25549819
Portugal,PRT,"Population, total",SP.POP.TOTL,10281762
Paraguay,PRY,"Population, total",SP.POP.TOTL,6956071
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4569087
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2457367
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1109997273
French Polynesia,PYF,"Population, total",SP.POP.TOTL,277679
Qatar,QAT,"Population, total",SP.POP.TOTL,2781677
Romania,ROU,"Population, total",SP.POP.TOTL,19473936
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144478050
Rwanda,RWA,"Population, total",SP.POP.TOTL,12301939
South Asia,SAS,"Population, total",SP.POP.TOTL,1814388744
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,33699947
Sudan,SDN,"Population, total",SP.POP.TOTL,41801533
Senegal,SEN,"Population, total",SP.POP.TOTL,15854360
Singapore,SGP,"Population, total",SP.POP.TOTL,5638676
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,652858
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7650154
El Salvador,SLV,"Population, total",SP.POP.TOTL,6420744
San Marino,SMR,"Population, total",SP.POP.TOTL,33785
Somalia,SOM,"Population, total",SP.POP.TOTL,15008154
Serbia,SRB,"Population, total",SP.POP.TOTL,6982084
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1078209758
South Sudan,SSD,"Population, total",SP.POP.TOTL,10975920
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1078306520
Small states,SST,"Population, total",SP.POP.TOTL,40575321
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,211028
Suriname,SUR,"Population, total",SP.POP.TOTL,575991
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5447011
Slovenia,SVN,"Population, total",SP.POP.TOTL,2067372
Sweden,SWE,"Population, total",SP.POP.TOTL,10183175
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1136191
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,40654
Seychelles,SYC,"Population, total",SP.POP.TOTL,96762
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,16906283
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,37665
Chad,TCD,"Population, total",SP.POP.TOTL,15477751
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2056064424
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,459865205
Togo,TGO,"Population, total",SP.POP.TOTL,7889094
Thailand,THA,"Population, total",SP.POP.TOTL,69428524
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9100837
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5850908
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,625569713
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1267972
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,378327628
Tonga,TON,"Population, total",SP.POP.TOTL,103197
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1814388744
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1078306520
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1389858
Tunisia,TUN,"Population, total",SP.POP.TOTL,11565204
Turkey,TUR,"Population, total",SP.POP.TOTL,82319724
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11508
Tanzania,TZA,"Population, total",SP.POP.TOTL,56318348
Uganda,UGA,"Population, total",SP.POP.TOTL,42723139
Ukraine,UKR,"Population, total",SP.POP.TOTL,44622516
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2655635719
Uruguay,URY,"Population, total",SP.POP.TOTL,3449299
US,USA,"Population, total",SP.POP.TOTL,327167434
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,32955400
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,110210
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28870195
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,29802
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106977
Vietnam,VNM,"Population, total",SP.POP.TOTL,95540395
Vanuatu,VUT,"Population, total",SP.POP.TOTL,292680
World,WLD,"Population, total",SP.POP.TOTL,7594270356
Samoa,WSM,"Population, total",SP.POP.TOTL,196130
Kosovo,XKX,"Population, total",SP.POP.TOTL,1845300
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,28498687
South Africa,ZAF,"Population, total",SP.POP.TOTL,57779622
Zambia,ZMB,"Population, total",SP.POP.TOTL,17351822
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14439018
